time: 2015-10-27 20:14:22.872385 instance ID: i-5efb1e87 instanceStatus: ok instanceState: running
time: 2015-10-27 20:14:22.872885 instance ID: i-528e628b instanceStatus: ok instanceState: running
time: 2015-10-27 20:15:23.095885 instance ID: i-5efb1e87 instanceStatus: ok instanceState: running
time: 2015-10-27 20:15:23.096385 instance ID: i-528e628b instanceStatus: ok instanceState: running
time: 2015-10-27 20:16:23.373885 instance ID: i-5efb1e87 instanceStatus: ok instanceState: running
time: 2015-10-27 20:16:23.374385 instance ID: i-528e628b instanceStatus: ok instanceState: running
time: 2015-10-27 20:17:23.579885 instance ID: i-5efb1e87 instanceStatus: ok instanceState: running
time: 2015-10-27 20:17:23.579885 instance ID: i-528e628b instanceStatus: ok instanceState: running
time: 2015-10-27 20:18:23.789385 instance ID: i-5efb1e87 instanceStatus: ok instanceState: running
time: 2015-10-27 20:18:23.789885 instance ID: i-528e628b instanceStatus: ok instanceState: running
